,title,text,time,image,country,3let,countrycode
14, Χάριετ Τάμπμαν: Η πρώην σκλάβα και πολιτική ακτιβίστρια στο νέο χαρτονόμισμα των 20 δολαρίων ,Η Χάριετ Τάμπμαν θα γίνει η πρώτη Αφροαμερικανίδα προσωπικότητα που θα εμφανιστεί σε χαρτονόμισμα των ΗΠΑ. Θα αντικαταστήσει τον λαϊκιστή πρόεδρο Άντριου Τζάκσον.,2021-01-26 02:10:00,https://www.news247.gr/img/1242/9122936/671000/w140/140/harriet_tubman3.jpg,ελλάδα,,GR
15, Τζάνετ Γέλεν: Η πρώτη γυναίκα που αναλαμβάνει υπουργός Οικονομικών των ΗΠΑ ,Η Γερουσία ενέκρινε τον διορισμό της Τζάνετ Γέλεν. Θα αντικαταστήσει τον Στίβεν Μνούτσιν και θα είναι η πρώτη γυναίκα που θα αναλάβει το υπουργείο Οικονομικών.,2021-01-26 01:42:00,https://www.news247.gr/img/754/9122933/085000/w140/140/janet_yellen.jpg,ελλάδα,,GR
16, Μπάιντεν: Ανησυχία για την μεταχείριση του Ναβάλνι από την Ρωσία ,"""Να καταστήσουμε σαφές στη Ρωσία ότι ανησυχούμε πολύ για τη συμπεριφορά τους"", δήλωσε ο πρόεδρος των ΗΠΑ Τζο Μπάιντεν.",2021-01-26 01:22:00,https://www.news247.gr/img/1828/9122926/199000/w140/140/biden.jpg,ρωσία,,RU
17, Άρειος Πάγος: Επανεξέταση και μείωση της ποινής του ειδικού φρουρού - Είχε επιχειρήσει να βιάσει κοινωνική λειτουργό ,Ο νέος Ποινικός Κώδικας φέρνει ελάφρυνση της ποινής του ειδικού φρουρού που είχε καταδεικαστεί σε φυλάκιση 7 ετών και 10 μηνών όταν χτύπησε και επιχείρησε να βιάσει το 2012) κοινωνική λειτουργό. ,2021-01-26 01:04:00,https://www.news247.gr/img/2899/9122678/003000/w140/140/untitled_1.jpg,ελλάδα,,GR
18," Σοφία Μπεκατώρου: ""Μίλησα τώρα γιατί άκουσα ότι αποπλανεί παιδιά"" ","Η Σοφία Μπεκατώρου μίλησε ανοιχτά για την καταγγελία της για σεξουαλική κακοποίηση, για τα συναισθήματά της, για τα κακώς κείμενα της ΕΙΟ, αλλά και τους λόγους που ""έσπασε"" τη σιωπή της τώρα.",2021-01-26 00:34:00,https://www.news247.gr/img/356/9122908/667000/w140/140/bekatorou.jpg,ελλάδα,,GR
19, Εορτολόγιο: Ποιοι γιορτάζουν την Τρίτη 26 Ιανουαρίου ,Ποια ονόματα περιλαμβάνει σήμερα το εορτολόγιο.,2021-01-26 00:31:00,https://www.news247.gr/img/7595/9122856/760000/w140/140/ekklisia.jpg,ελλάδα,,GR
20, Ολλανδία: Δεύτερη μέρα ταραχών σε διαδηλώσεις κατά της απαγόρευσης κυκλοφορίας ,Να αυξήσει τον αριθμό των συλλήψεων εξουσιοδότησε την αστυνομία ο δήμαρχος του Ρότερνταμ μετά τα επεισόδια σε διαδηλώσεις κατά της απαγόρευσης κυκλοφορίας. ,2021-01-25 23:11:00,https://www.news247.gr/img/5570/9122886/852000/w140/140/ollandia250121.jpg,ολλανδία,,NL
21, Γαλλία: Οργή μετά την επίθεση εναντίον 15χρονου από συμμορία νέων στο Παρίσι ,Ο 15χρονος Γιούρι δέχτηκε άγριο ξυλοδαρμό από συμμορία νέων σε συνοικία του Παρισιού. Αντιδράσεις μετά την προβολή του βίντεο. Έρευνες για τα κίνητρα της επίθεσης.,2021-01-25 23:02:00,https://www.news247.gr/img/698/9122692/020000/w140/140/15xronos.jpg,γαλλία,,FR
22, Χάος στα σύνορα Τσεχίας - Γερμανίας: Ουρές για τεστ κορονοϊού ,"Εκατοντάδες πολίτες περίμεναν να κάνουν τεστ για τον κορονοϊό, ώστε να περάσουν στη Γερμανία από την Τσεχία, η οποία έχει χαρακτηριστεί χώρα υψηλού κινδύνου.",2021-01-25 22:54:00,https://www.news247.gr/img/8984/9122751/592000/w140/140/tsexia1.jpg,τσεχία,,CZ
23, Μάτι: Ευθύνες στην Πυροσβεστική επιρρίπτουν στελέχη της Τροχαίας και της ΕΛΑΣ ,"Αν η Πυροσβεστική είχε εισηγηθεί απομάκρυνση πολιτών από το Μάτι, η Αστυνομία και η Τροχαία είχε τη δυνατότητα να εφαρμόσει επιτυχώς το σχέδιο διάσωσης, σύμφωνα με κατηγορούμενους αξιωματικούς της ΕΛΑΣ. ",2021-01-25 22:35:00,https://www.news247.gr/img/1841/9122853/649000/w140/140/mati250121.jpg,ελλάδα,,GR
